name,ecosystem,category,expected_high,notes
# category values: prominent-real | obscure-real | word-confounder | cross-domain | cross-eco-reuse | nonexistent
# expected_high: TRUE = LLM-prominence SHOULD rank this high (famous package); FALSE = should rank LOW (obscure/confounder/fake)
# obscure-real rows are pulled from the tails (rank ~1450-3000) of model_{pypi,cargo,npm}.csv
# CORRECTED 2026-08: several word-confounders (wheel, log, time, bytes, num, ms) were relabeled
#   FALSE->TRUE. They ARE genuinely prominent packages; the old FALSE encoded a defensive
#   "skeptical of common-word names" stance that is factually wrong for the prominence signal
#   (the rebuild consumer WANTS a real prominent pkg rated high). eval-prominence's nonexistent-FPR
#   and word-disambig gates are TRUST-oriented (defend Value-as-a-trust-signal); the
#   rebuild-prioritization consumer's metric of record is the main AUC. See GAMING_RESISTANCE.md.
# --- PYPI ---
requests,pypi,prominent-real,TRUE,top-3 by centrality; famous library AND the English word
numpy,pypi,prominent-real,TRUE,foundational; anchor for calibration
pandas,pypi,prominent-real,TRUE,famous library; name also = the animal (cross-domain overlap but pkg dominates)
django,pypi,prominent-real,TRUE,famous web framework; name also a Tarantino film
ruff,pypi,prominent-real,TRUE,dev tool (linter); rank 385 by centrality but 48k stars; partial gap case
uv,pypi,prominent-real,TRUE,dev tool (pkg manager); 88k stars; 2-char name = tokenization stress test
black,pypi,prominent-real,TRUE,famous formatter AND extremely common English word (hard word-confounder overlap)
poetry,pypi,prominent-real,TRUE,famous pkg manager AND common English word
yt-dlp,pypi,prominent-real,TRUE,famous end-user CLI app; 180k stars; hyphen+abbrev tokenization
streamlit,pypi,prominent-real,TRUE,famous app framework; centrality present but stars-driven
click,pypi,word-confounder,TRUE,IS a famous pkg AND the word 'click'; expected_high TRUE but flag as ambiguity anchor
rich,pypi,word-confounder,TRUE,famous TUI lib AND the word 'rich'; ambiguity anchor
wheel,pypi,word-confounder,TRUE,CORRECTED 2026-08: 'wheel' is a genuinely prominent pkg (core packaging build dep); prior FALSE was a defensive anti-over-rank label, factually wrong
pin,pypi,word-confounder,FALSE,obscure pkg (rank 2988) but 'pin' is a very common word; over-rank risk
arrow,pypi,word-confounder,FALSE,datetime lib exists but the WORD/Apache Arrow dominate; disambiguation test
pillow,pypi,cross-domain,TRUE,famous imaging lib; word 'pillow' is common object; pkg still expected high
kivy,pypi,obscure-real,FALSE,real GUI framework but niche; distinctive coined name (low collision)
